txid;index;created_block;value;fanin;fanout;fanout_share;total_value;spent_block;life;label
6236fb4d5ceb960843d8f53950675f058bd1d9be97c10fea43e81de674d69e94;9;589685;0.01881049;3;10;0.19247931975630564;0.09772732999999999;643519;53834;1
8107cb87ea70f38d36cab88f648b0dd68bf77170fa31050b20d264f68e5418fb;0;643492;0.00279155;2;2;0.014357467642144354;0.19443192;643492;0;0
d296dc11cea53b26f800e7e3c635d7adadba38dc08b56044f60a11373634cf3d;0;643502;0.00054034;2;21;0.0005569880440125904;0.9701105900000001;643509;7;0
19572851bb3f904890014c1a6c92db041e15e4349f500c1c2ae954ab12484686;1;551610;0.104225;2;2;0.9125750877026468;0.11420978;643507;91897;1
27787a86e4afb70d2f18fc10aa0ce512f9e56ab866c8cc3ef21867284d861c45;2;643500;5.46e-06;1;3;4.999456103127243e-05;0.10921188;643502;2;0
0b936cec3ee9180ccb886bbc94c9eabc73f95433187e71357b00c50054318baf;92;492287;0.00166557;1;101;2.424901565978754e-06;686.8608703;643500;151213;1
beb5bd86afd8b06f120e497258e7b7bbf417d66077bbded6317c6cff318bbce5;27;497032;0.01110454;1;61;0.005853974879434619;1.8969230700000004;643499;146467;1
aa90f8af26432ac07d9bb95325ecc6de7a5124bb07e365dbab71439fbc386d65;0;643504;0.00251121;2;3;0.9978304664497133;0.00251667;643507;3;0
257f1ec7e17f094afa32aca4c3303b43cd395495c987bda4c76999c567019b89;65;558975;0.0370512;6;972;0.0006175234937420853;59.99966054000011;643519;84544;1
6b5dbd9c74e80f2c33a0019c2774b1c318ec505749c59b68006ca3194dd287fe;0;643394;0.14485168;1;1;1.0;0.14485168;643491;97;0
ed6f3b605ba86e420d03a28b61bda9ce87c976051c7a67b027ffdd139f82f85e;16;643439;0.03;1;24;0.006297217758841736;4.76400867;643499;60;0
fc3db078cbde8039ef432f1079f98314281e7938a438719480b2f4c48b70fcec;966;482135;0.00167116;1;1010;5.30858159231252e-05;31.48034876999999;643501;161366;1
47719f469e16d4ccb9401d988c195484ecfc482e6ac4b03675fdc4e610958abe;1;643408;0.27666686;1;2;0.09069723651821844;3.05044421;643497;89;0
977f7f204fe3873669233bc02044263a058c6109ed989c4bd8474f29175b69ae;0;531006;0.2295;1;2;0.08451032028615998;2.7156446599999997;643514;112508;1
0bcd239ddc1e8adaa7c9cec291d201468182d764a5cf0da4710a1bf097644166;0;643483;0.12107637;3;3;0.14757085459907973;0.82046262;643509;26;0
2081e77bdb73cb44457e1496dd7fb34a2b0f86bad55c69b04e0b753c2e8a384d;4;643383;0.00794494;1;10;0.0022830482530705543;3.4799702499999996;643520;137;0
4c1890188ea6aa219c6d6bec1f7d4e7039cada6617d7bb97ac5bb35eda94202b;2;524337;0.17989;10;11;0.006005092282870929;29.95624239;643515;119178;1
587985c28e5039338d38228fc1024a4e4107197887171b7ef6b8029814547f7d;1;643516;0.73994332;1;2;0.9418311098222029;0.7856433199999999;643516;0;0
13754c610179d3ca95be8adcba1cc6e90f358380648a045d17e16cefe788fc20;53;643450;0.03331975;9;67;0.009778985922703697;3.4072807000000003;643504;54;0
8a7f05001cee4afc4f8bc7eea040619c007b39d15381f317951b42df887babf6;0;643407;0.08793321;1;1;1.0;0.08793321;643507;100;0
eadf153794e691eb78000a436545fe6b745ef6ed74afa252eda6d528334717aa;14;643453;0.00254903;10;56;0.00026661406185944306;9.560748530000001;643504;51;0
4ffac4be6e4f7cb11c6c06cda2677a9a18569dd34bcc7e694df1430c529ca6be;0;588830;5.46e-06;1;3;9.84183253126409e-08;55.477473149999994;643520;54690;1
3c074dfcce76dd11c0998371b552d6ed6fd88dbc92eeba66628fbd23a8df9414;84;643510;0.2146;4;100;0.0018235527951429107;117.68236190999995;643517;7;0
d521c4985fd00fd89784d0e22c494c9d623a9de199f5c7c9565aafa18f6fddf9;1;643516;0.74446529;2;2;0.8611858666991707;0.8644652899999999;643517;1;0
f404081873a1056d81b0fd30aaa477cabac5d96aa24c376b28eee99251116cdf;1;643361;0.0026306;1;2;0.62734904130497;0.004193199999999999;643492;131;0
65f4cb897f2f428229af01d1fb1e8abad02e739cafb01e4b1e8e4f2920acc1f9;23;643460;0.002467;1;35;0.004409146252918244;0.5595187500000001;643511;51;0
87a82facb0c2c6aa9e12345ed530c8d706e03ae41d77e61fef93b62d8a025f4a;9;643514;0.00858878;1;21;0.002750778332632816;3.12230902;643514;0;0
86025420c78edb88d7f43755272cbbc627b257df34f52fe8f285368b791cbf13;43;643407;0.00504206;1;61;0.004691630527568504;1.0746924700000002;643518;111;0
c70145b7d76b23741ba3a55cb91d31300930410b0a6601f37dc0758cf3f90b60;1;448087;0.00858076;2;2;0.740949644064811;0.011580759999999999;643501;195414;1
38a561d807b09f915b27954be97fdc4a653afabb722ee6e2e74f499c651cace2;1;643424;0.1063193;1;2;0.9122028178604173;0.11655226;643511;87;0
32db8f972d84eea9a0a334b1c1d7b8e57628c05da0386838f7708902773e697d;1;643504;0.16879192;1;2;0.9634686348548496;0.17519192;643505;1;0
9241c48d09f28ca64c8e4087522b14eff18baba6a5f2e4a094a55bf93f0fe263;0;643505;0.89965297;1;2;0.99271726524659;0.90625297;643505;0;0
0d5a98a6ad991f922f9cdef122be106efe6843441c90b52be21caf693e335ff0;5;643502;0.01187573;10;25;8.06653687416544e-05;147.22216218999998;643507;5;0
b6da4f7878488cff504c94a2b082fe1de9114555e0c6948af1662806a1bf0b5c;1;643519;0.08311612;1;2;0.9220686897804017;0.09014092;643519;0;0
afc6ac498d641d4b2e7591b06678defd6c97af47420fa64aae6859cc832099a8;0;565903;0.2696;2;2;0.002445628212338383;110.23752451;643500;77597;1
9cb49dc68a48083e323ca6ad802d629d13fca83812945e07f101960fd37a8c2d;0;643475;0.00245083;1;2;0.27669108250053065;0.00885764;643512;37;0
1fd5a9e423e25736f70189561a36295a2da55cca9fafb374db826b86d042a574;4;643494;0.00160991;1;26;0.0008780326810362039;1.83354223;643497;3;0
e13618bfb8b763b4cf2b2b0109abe21cc8ca7180c82a9bbb0290e4609cfb3dc4;0;643498;10.5;1;2;0.5247612336386944;20.0091;643499;1;0
54c65de857cb3b3a0aaa35fa4a374fd1f14ef3320d54aaaa769c09cca7903d58;146;516573;0.00598557;3;201;0.0034357563833546383;1.7421403999999991;643502;126929;1
41224bfbc7aba0b98aadb5986b56796040fe71a0b30ce5af038e6072d2f890dd;0;543594;0.00787461;1;2;0.0560905773420169;0.14039096;643499;99905;1
fe04132a26426450224ecc4345faee18fd7c50bc979afc3f73b6dbb541d23f71;0;527481;0.0001842;1;2;0.0036704779591983133;0.050184200000000005;643499;116018;1
912067de2502b88954547c1dd981fd1cf477d5792335c0f7656d5a71999e350d;17;502829;0.00020184;1;41;0.012508063871439112;0.016136790000000005;643504;140675;1
fd9f48ec266b6770bc6737420bd18f292c3260e961b192617a05ed7e7b5a3a43;37;643368;0.00105898;1;39;0.0001057433810764995;10.01462209;643492;124;0
ceb816aff32db8df377474072ef97fcef8699cc2eae26f938be9b946124a392a;1;643403;0.103968;3;2;0.906748652671345;0.11466022000000001;643499;96;0
6bdfd51d27aa7d1cd5290a844a1bd0ecefe7d605b6ab93c1ba0816f9b4f11fdc;308;493645;0.00159397;1;367;8.706468998010714e-05;18.30788119000017;643501;149856;1
aedd9404f134ba8da198b2be818f8373bcfab899a548659485d0d349f46d19d6;0;643485;0.01653;1;1;1.0;0.01653;643499;14;0
5e2b2517283933eba2e3e28da548517b36bfec8394e67cbad49771528aa7d785;0;643510;0.050133;2;2;0.5533722227078979;0.09059544;643515;5;0
a31191e1c7641b21be89948665bbe8ff8cd62cb661126a6eee97db849bd5b3e0;69;557238;0.04759771;6;961;0.0007932996054423917;59.999664280000054;643519;86281;1
686ad61dd7575530fdabe152ad626925a3eb5998d6a386b07d38246e5ca65b7c;0;643506;0.08715016;2;1;1.0;0.08715016;643520;14;0
38b0d9347e2de3316e312af6606bd3c5b62a7d3c14dc18d3533e716c06e241c9;1;506514;0.419159;1;2;0.838957285451514;0.49961900000000004;643515;137001;1
a7a3ac839f80d45d731b463eda588a75ed7688ffc6ce6a81dea2602e066fc4b3;1;527743;0.19496284;1;2;0.8198685882834765;0.23779767;643513;115770;1
8a8c12b8c496c71d932aac9c02627d71e4df12faba111f1e3f3e055b15a2fb2e;0;643382;0.00841153;1;1;1.0;0.00841153;643508;126;0
455bd8d2a743d56f0220539f7b6cb2e31da2af2378fed0c96c12b488947d18e8;0;643457;0.07654;1;2;0.2801813396299337;0.27318022;643492;35;0
b5cc06713ed1a593bf19c08d1c06fe5fa905c56c5c19c3ffae86f72b49c01e42;8;643448;0.00408532;1;47;0.0020453439617068706;1.99737554;643520;72;0
19e239f09ef906256f40cc9227fa9d792f03c52966a12d2457eaa75197091cf1;1;643448;0.0154518;2;2;0.14942658787145588;0.10340730000000001;643520;72;0
5dd954916720c24718cd2099a4a06acf080d8b0ca1be619dcfc82ae2a6dc9a42;19;643499;0.3896;4;67;0.015398104328309745;25.301815839999996;643507;8;0
4285a96a441bc8ac5b427defbc0eb313cdc0a77c02a392cc6c1b0a2b17728256;0;483680;0.01020542;1;2;0.00014704497130794907;69.40339346;643518;159838;1
0cfdb0d2e678c77cb86230625febad5b97546cbf87b3469d1981b855f13b5ff6;45;643493;0.0862;3;55;0.00379307836446261;22.72560483;643504;11;0
8969bc6e01b131c94a19b49bb6449db99187571946a057c8e6c014d6548e93c4;0;502332;0.001188;2;2;0.8525296017222821;0.0013935;643511;141179;1
7e911ea2e6c21f028995f49c75b6e8a4f75266ce9198f0f6e2d18a9c3b651568;0;643515;0.06417411;1;1;1.0;0.06417411;643518;3;0
e556c9e3d4e9f1d0ad8cde618157c79d54f3a95c55a231494551e3f81cdd214e;853;533704;0.03345073;6;956;0.0005575152703541768;59.99966597999999;643519;109815;1
898cc0b2e0a303f1104e9bbd745c1b2e4e26075afdc2d26788cbe553ae5100c2;17;643473;0.03604834;1;23;0.0030208588647292578;11.93314273;643504;31;0
3ea7b00c52eb379998fd737f2d2e08b134d90fd6b732b5d36350ffb5d6ddb466;0;643396;0.00855492;1;2;0.15952882706335358;0.05362617;643508;112;0
cd821390d8958bc8773592ac3a8da008c53ffb09cca1f118d58a903a07a3851f;1;579173;2.29170579;5;2;0.31428939345617785;7.29170579;643515;64342;1
b227d40828550bc06c3a3e7e6004e0dc1f79c68219c11d1923e69d56a028655e;1;643518;0.06928656;1;3;0.9999212030476237;0.06929202;643518;0;0
18de2f0728b48f9c02c5cfaac490fe62a4901a8085a0e83bfc52453461f7e618;1;436658;0.0029;8;2;0.9917717146706977;0.0029240599999999996;643496;206838;1
2d4a3f82edf462cbfd72ac963b17075667ae4cd4dacf1da1bf09d311c839588f;21;643507;0.10401869;1;23;0.017829704890413512;5.83401075;643510;3;0
fab5d253504cd3ca044368b5960d18d8d17a4a9afab68e115906917378fc5a78;1;643497;0.0092138;1;2;0.9142080379423423;0.01007845;643497;0;0
